TREE,DBH
238,21.81
239,24
240,26.02
241,18.63
242,26.43
243,26
244,32.29
245,26.74
246,22.35
247,17.33
248,22.14
249,25.31
250,21.83
251,15.57
252,33.58
253,33.23
254,27.59
255,20.88
256,20.22
257,28.24
258,20.98
259,22.02
260,24.56
261,26.76
262,16.68
263,21.18
264,30.82
265,16.28
266,28.12
267,15.89
268,18.74
269,22.59
270,21.46
271,18.02
272,29.31
273,34.36
274,24.8
275,20.93
276,27.84
277,29.49
278,19.03
279,28.45
280,33.43
281,25.73
282,28.04
283,30.62
284,26.16
285,19.59
286,34.21
287,22.66
288,33.33
289,18.84
290,23.8
291,22.34
292,25.02
293,31.4
294,22.52
295,30.69
296,20.65
297,34.41
298,18.89
299,28.24
300,24.6
301,20.9
302,25.53
303,24.53
304,29.4
305,34.29
306,33.31
307,32.08
308,19.16
309,20.73
310,26.58
311,18.71
312,27.29
313,17.81
314,24.56
315,18.69
316,26.6
317,16.39
318,22.87
319,18.29
320,26.31
321,30.37
322,30.55
323,17.6
324,31.42
325,33.31
326,16.64
327,20.82
328,17.91
329,27.44
330,18.81
331,26.08
332,27.93
333,25.06
334,21.8
335,31.73
336,18.25
337,26.22
338,28.35
339,25.71
340,19.96
341,23.48
342,20.72
343,19.18
344,23.71
345,24.04
346,26.4
347,32.05
348,20.27
349,17.57
350,16.94
351,19.51
352,29.09
353,16.14
354,17.7
355,34.86
356,25.6
357,28.95
358,31.78
359,22.3
360,31.19
361,23.39
362,19.94
363,16.21
364,27.19
365,19.82
366,18.77
367,28.17
368,22.69
369,24.26
370,34.72
371,21.86
372,29.71
373,32.49
374,31.89
375,15.61
376,33.36
377,26.08
378,32.93
379,27.79
380,29.57
381,25.37
382,29.59
383,17.15
384,34.96
385,19.45
386,25.04
387,25.66
388,32.02
389,22.4
390,19.72
391,33.61
392,26.48
393,24.37
394,31.46
395,18.8
396,20.6
397,22.83
398,34.29
399,15.01
400,31.23
401,16.68
402,28.54
403,34.53
404,31.67
405,34.11
406,30.15
407,28.64
408,18.4
409,31.1
410,26.59
411,19.51
412,20.83
413,25.29
414,26.92
415,33.82
416,24.76
417,15.37
418,16.37
419,31.99
420,19.05
421,32
422,28.01
423,16.34
424,21.8
425,19.05
426,27.35
427,26.68
428,20.05
429,25.27
430,21.11
431,21.38
432,17.3
433,16.79
434,28.08
435,20.84
436,27.9
437,15.61
438,25.35
439,33.11
440,33.66
441,26.71
442,26.67
443,21.74
444,24.96
445,25.54
446,21.66
447,22.93
448,17.01
449,23.27
450,26.95
451,16.53
452,16.29
453,28.68
454,23.82
455,33.18
456,15.55
457,18.58
458,26.95
459,16.28
460,27.44
461,31.65
462,26.49
463,32.34
464,27.76
465,22.19
466,31.46
467,28.54
468,23.19
469,26.76
470,34.43
471,16.83
472,32.53
473,30.61
474,15.02
475,26.56
476,21.48
477,25.19
478,18.8
479,19.65
480,33.11
481,23.17
482,29.87
483,15.5
484,26.51
485,26.02
486,20.31
487,34.99
488,23.28
489,19.67
490,29.34
491,32.67
492,15.25
493,29.19
494,29.16
495,20.43
496,16.06
497,19.68
498,33.33
499,32.51
500,18.68
501,24.25
502,27.23
503,21.01
504,28.62
505,26.61
506,25.13
507,34.92
508,22.5
509,24.59
510,24.34
511,27.48
512,30.31
513,15.84
514,26.33
515,32.56
516,31.31
517,17.54
518,28.09
519,19.71
520,18.54
521,27.13
522,25.41
523,29.23
524,29.85
525,33.03
526,26.45
527,24.78
528,22.34
529,26.8
530,17.43
531,18.74
532,22.57
533,22.04
534,26.67
535,28.63
536,25.76
537,31.02
538,22.78
539,27.59
540,23.12
541,19.98
542,26.96
543,24.75
544,28.52
545,27.51
546,25.82
547,32.34
548,18.43
549,34.08
550,34.21
551,20.38
552,24.02
553,34.82
554,16.14
555,17.94
556,19.39
557,27.86
558,20.41
559,22.04
560,23.47
561,20.55
562,25.83
563,33.58
564,28.54
565,27.07
566,26.31
567,31.72
568,22.09
569,19.91
570,22.39
571,16.89
572,28.68
573,28.34
574,31.03
575,21.27
576,23.04
577,29.82
578,34.52
579,19.67
580,24.31
581,18.47
582,30.82
583,30.65
584,22.37
585,23.64
586,20.75
587,26.54
588,18.6
589,31.68
590,34.74
591,16.97
592,34.69
593,15.71
594,16.83
595,26.75
596,33.45
597,15.25
598,21.33
599,23.3
600,21.12
601,30.42
602,26.9
603,22.51
604,29.69
605,18.17
606,17.97
607,19.48
608,33.55
609,32.68
610,19.39
611,25.14
612,27.96
613,29.3
614,26.32
